AddressID,CustomerID,ReceiverName,Phone,Address,PaymentMethod
1,1,楊淑華,098 55357377,91126 朴子縣府中巷83號7樓,Line Pay
2,2,王家豪,(09) 73638396,193 宜蘭劍潭路9號1樓,Line Pay
3,2,張文欽,07-8872320,48697 竹北縣新興巷559號7樓,Line Pay
4,3,管麗華,0934-224148,53637 光復市中正街77號3樓,Line Pay
5,4,李俊廷,01 7413690,911 南投縣天母巷89號3樓,Line Pay
6,5,鄭麗娟,0942189179,27236 光復縣永安巷6段3號5樓,Apple Pay
7,5,陳秀蘭,070 98065764,623 桃園林森路2號之2,Apple Pay
8,6,闕淑惠,081 32802553,394 阿里山石牌路5段7號7樓,Cash on Delivery
9,7,吳子豪,0959-016759,73717 蘆洲文化街444號8樓,Credit Card
10,8,王秋香,07-4064444,53744 頭份市勝利街344號之1,Credit Card
11,9,林世昌,0941-700479,904 嘉義縣延平街3號2樓,Credit Card
12,10,柯柏翰,0916064113,30402 八德大橋頭路387號6樓,Line Pay
13,11,王信宏,09 5507967,412 八德三民街2號4樓,Cash on Delivery
14,12,許宥蓁,03-2942168,87193 雲林信義街22號8樓,Credit Card
15,13,李麗美,06 4717512,683 平鎮天母巷1段7號8樓,Cash on Delivery
16,14,李柏翰,(01) 65080238,833 台南正義巷56號4樓,Cash on Delivery
17,15,徐春美,(06) 23050676,929 金門廣慈街842號之1,Credit Card
18,16,蔡怡君,002 84650619,717 員林民享街78號之6,Credit Card
19,17,賴欣怡,03-5012440,259 中壢福安巷9號5樓,Line Pay
20,18,陳明哲,0934-730949,69300 大里市大橋頭巷6號之6,Line Pay
21,19,紀金龍,(00) 85066588,989 阿里山市自由街423號之4,Line Pay
22,20,江明哲,0913689527,16195 苗栗長春街41號7樓,Apple Pay
23,20,王冠宏,(07) 53469938,68482 平鎮蘆洲巷63號1樓,Apple Pay
24,21,吳苡晴,04 6172278,51502 台南劍潭街4號7樓,Cash on Delivery
25,21,陳恩碩,0943584501,54730 牡丹民富路914號2樓,Cash on Delivery
26,22,劉建成,0908064282,52321 卑南大勇路5號之1,Line Pay
27,23,李文忠,053 65142206,863 太平國凱八德街309號之4,Cash on Delivery
28,23,鄭柏諺,0938830690,544 屏東市頂福州街4段3號之3,Credit Card
29,24,陳春美,(08) 26277280,11180 八德縣土城巷7段715號之3,Credit Card
30,25,邱秋月,09-57926556,82302 太保文山巷219號1樓,Credit Card
31,26,鄭志強,011 69926950,109 朴子中央路13號之9,Credit Card
32,27,賴美玲,0945028752,125 北斗文化路9號之2,Line Pay
33,28,傅月英,0929101611,49240 鳳山市民享街53號2樓,Cash on Delivery
34,29,陳秋月,0955-647629,94403 澎湖市民治街520號之8,Line Pay
35,29,蔡淑玲,07-5643288,12328 宜蘭市大仁街55號2樓,Apple Pay
36,30,何志偉,02-54670141,336 台中市民族巷3段45號之1,Credit Card
37,31,羅明輝,(02) 20435177,338 斗六縣廣慈巷97號0樓,Credit Card
38,32,吳柏翰,0924880361,573 蘆竹縣民生街9段9號之6,Credit Card
39,33,羅冠宇,04-5609100,149 雲林新生路4號之8,Cash on Delivery
40,34,蔡冠宇,0926-268978,66355 竹北市古亭巷691號6樓,Cash on Delivery
41,35,高志宏,033 44721181,22210 太保市中正路509號3樓,Line Pay
42,35,劉宗翰,0956-171421,84656 新營水源街4段3號之5,Line Pay
43,36,張美麗,0982749520,884 馬公士林路4號0樓,Credit Card
44,36,嚴俊銘,099 10626565,238 桃園市新莊街653號之2,Apple Pay
45,37,潘淑珍,06 2362336,687 桃園平和路68號之8,Line Pay
46,38,徐宗霖,0941397835,250 宜蘭大智路12號1樓,Cash on Delivery
47,39,李明珠,08 5075582,805 頭份育英路5號8樓,Credit Card
48,40,黃淑芬,0922-711119,952 北竿市育英路5段8號9樓,Line Pay
49,41,林政宏,09-89290518,136 新北市民族路57號3樓,Credit Card
50,42,蔡志豪,(01) 63103275,16223 台中市民享街91號之6,Cash on Delivery
51,43,潘寶珠,015 91397365,943 鳳山縣西門路5段8號5樓,Apple Pay
52,44,王美蘭,0932558958,645 嘉義市太平巷3號之5,Apple Pay
53,45,張麗珠,040 21313055,722 草屯新莊街820號5樓,Cash on Delivery
54,46,王志偉,0937045636,48970 竹田民享街48號8樓,Apple Pay
55,47,陳美麗,072 97238307,195 台東新埔巷621號之4,Line Pay
56,48,張俊豪,09-90257050,592 雲林文化路3號之9,Apple Pay
57,49,莊秀珍,(02) 97977753,220 卑南縣忠孝巷36號7樓,Credit Card
58,50,吳志賢,039 33160953,697 朴子民權路683號之5,Apple Pay
59,51,葉承恩,097 95149086,80688 褒忠光復路42號之9,Credit Card
60,52,粘秋月,09-7926341,56648 樹林光復路5號之5,Credit Card
61,53,梁柏翰,0952035361,161 桃園市建國街122號1樓,Apple Pay
62,54,劉正雄,(03) 75142454,257 永康動物園街3號之4,Line Pay
63,55,邱志明,026 33542369,905 雲林市四維路5段60號之3,Cash on Delivery
64,56,趙語彤,0902-931205,154 光復市廣慈路2號之4,Apple Pay
65,57,黃麗雪,(01) 18537125,142 三重市福德路8號之9,Cash on Delivery
66,58,洪美麗,083 22564117,642 橫山民有路3號9樓,Line Pay
67,59,胡素貞,06-5651050,48316 宜蘭淡水巷5號之4,Cash on Delivery
68,60,蔡淑華,081 34454697,33886 永和中和街1段1號4樓,Apple Pay
69,61,鄭凱翔,01 1877978,80265 八德民富路185號之4,Cash on Delivery
70,62,吳玉琴,0938412023,361 平鎮西門路69號8樓,Line Pay
71,62,陳玉鳳,(03) 37806329,82108 白沙文化街342號之9,Apple Pay
72,63,洪宗憲,07-9547570,500 永和成功街8段484號2樓,Credit Card
73,64,顏羽彤,033 50039725,26837 苗栗民權街792號之7,Line Pay
74,64,蔡秀枝,04 6396220,519 梅山縣天母路9段32號之1,Apple Pay
75,65,張佳蓉,0935109532,15140 斗六雙連路7號6樓,Cash on Delivery
76,66,葉淑敏,0914-283268,59997 桃園新生巷78號3樓,Apple Pay
77,67,夏俊賢,0984828161,952 北斗和平路5號之2,Line Pay
78,68,何淑卿,00-2370730,123 竹田市龍山寺巷9號9樓,Cash on Delivery
79,68,江俊男,029 68129124,250 太平華興路13號之4,Apple Pay
80,69,陳春美,(05) 88348177,99757 雲林市新莊街361號7樓,Cash on Delivery
81,70,黃承恩,0991740070,198 頭份市新北投巷795號之1,Apple Pay
82,71,林秀梅,(00) 70441515,94152 新營縣自立街6段42號之5,Credit Card
83,71,洪冠宏,08-3535787,861 新營廣慈街1號之3,Line Pay
84,72,劉美娟,046 86492704,542 桃園劍南路8段29號之6,Credit Card
85,72,潘素琴,02-88664522,153 鳳山市忠義街5號之5,Line Pay
86,73,張麗卿,(04) 98325801,144 竹北市永寧路39號5樓,Line Pay
87,73,鄧建宏,(03) 52677557,68391 太平縣中興巷5段84號2樓,Apple Pay
88,74,陳文正,03-1598647,654 北竿中央街85號8樓,Cash on Delivery
89,75,蔡承恩,074 26988696,591 連江三民巷83號9樓,Line Pay
90,76,劉志遠,(02) 46786724,44051 卑南長安巷1段3號1樓,Cash on Delivery
91,77,李俊豪,07-62934372,86255 宜蘭縣太平路4號之5,Apple Pay
92,77,胡淑華,063 99096497,751 新竹迴龍巷2段7號之7,Credit Card
93,78,邱文傑,03-2594353,609 大里市學府街222號6樓,Line Pay
94,79,曾雅婷,0953323985,573 永和府中街70號之7,Line Pay
95,79,許美雲,054 47799346,51435 平鎮頂福州巷671號之1,Credit Card
96,80,施玉鳳,002 72748287,88108 竹田昆陽街134號9樓,Cash on Delivery
97,81,蔡秀珠,(01) 85459664,111 光復自立巷987號2樓,Cash on Delivery
98,82,劉俊豪,04 4256831,71473 苗栗長安路916號之0,Cash on Delivery
99,83,李文賢,07-81187857,35409 卑南小碧潭巷6段1號3樓,Apple Pay
100,84,龔玉玲,(08) 37164937,70304 古坑動物園街33號之8,Apple Pay
101,84,楊志明,0923349315,43814 基隆自由街979號4樓,Line Pay
102,85,巫淑卿,06-92163101,86704 竹田長安巷3號之5,Credit Card
103,86,王正雄,01 7043967,105 宜蘭大智街59號之8,Cash on Delivery
104,87,鄧冠宏,0978464709,24034 新營市文山路31號之5,Line Pay
105,88,張正雄,06 7183491,83227 永和市昆陽街85號之0,Cash on Delivery
106,89,林彥廷,(06) 58754947,99337 蘆洲市育英街31號4樓,Line Pay
107,90,陳碧珠,040 12477040,827 三重太平巷83號3樓,Line Pay
108,91,陳玉美,(07) 72610872,65861 員林光華街17號之8,Cash on Delivery
109,92,潘淑玲,(07) 10875186,77813 褒忠縣正義街66號之5,Cash on Delivery
110,92,陳志強,096 35228280,97258 大里新生巷67號4樓,Cash on Delivery
111,93,陳義雄,072 87250184,39855 光復縣自由街97號之4,Line Pay
112,94,章國華,07-7072943,92798 連江大仁路9段4號7樓,Credit Card
113,95,王秀霞,(03) 93068696,541 斗六新莊路4段61號6樓,Line Pay
114,96,張麗琴,010 38659404,86542 永康縣中華路5號之3,Cash on Delivery
115,97,蔡淑惠,08-7688510,128 新北勝利巷16號之2,Credit Card
116,97,陳怡婷,076 41225744,466 八德象山街1號之4,Credit Card
117,98,陳信宏,09-93481174,45428 太保縣學府路4號之5,Cash on Delivery
118,99,許雅婷,09 7412467,70335 汐止市南街8號5樓,Apple Pay
119,99,蘇承恩,(08) 65563631,98979 白沙育英街355號之1,Apple Pay
120,100,蕭淑惠,07-7858378,106 員林南街99號之5,Apple Pay
121,100,呂建中,062 31618411,882 蘆竹市民享街4段3號之2,Credit Card
122,101,趙宇翔,02 3393815,535 永和福安巷5號之5,Credit Card
123,101,陳志雄,08 5390538,57558 新竹民治街604號3樓,Cash on Delivery
124,102,駱秀蘭,095 83790042,946 中壢光華街80號之8,Cash on Delivery
125,103,程嘉宏,(08) 88570942,220 斗六文昌路5號7樓,Line Pay
126,104,吳美珠,01 8586121,276 連江育英路5號之3,Line Pay
127,104,范冠霖,0989819996,362 鳳山忠義街8號6樓,Line Pay
128,105,利素貞,0989-784207,510 關山市芝山巷8號2樓,Apple Pay
129,106,詹明輝,0948409125,21467 橫山林森街1段14號3樓,Cash on Delivery
130,107,湯建宏,0922-679062,71542 台北中央巷4段7號之8,Cash on Delivery
131,108,呂麗華,0986478758,785 苗栗縣德路866號之1,Cash on Delivery
132,109,李仁傑,07-29631627,73742 大里市奇岩巷576號5樓,Apple Pay
133,109,黃雅慧,(09) 16629249,88568 大里紅樹林路5號6樓,Line Pay
134,110,黃芯語,02 6233218,35761 彰化和平街75號之0,Cash on Delivery
135,111,劉麗珠,08-22252745,835 連江市信義街140號0樓,Credit Card
136,112,周素蘭,09-3812617,147 八德縣林森街645號之1,Line Pay
137,113,羅志宏,(08) 65280452,346 桃園南街9段217號7樓,Cash on Delivery
138,114,許進財,01-73188632,98706 台南文昌街8段5號2樓,Credit Card
139,115,楊俊廷,03 5808005,261 桃園德街68號之3,Credit Card
140,116,蔡志成,0972590215,336 白沙縣光華巷80號之1,Line Pay
141,116,周仁傑,08-41415257,369 太保縣和平路69號0樓,Apple Pay
142,117,劉秀美,(08) 12507845,25256 澎湖市自強路8段79號1樓,Cash on Delivery
143,118,蕭麗雲,0945-673358,320 永和市奇岩路3號8樓,Credit Card
144,119,薛志強,0907-709034,84426 苗栗縣延平街52號0樓,Credit Card
145,119,黃睿恩,04 7995944,65024 竹北民富街888號之0,Cash on Delivery
146,120,呂怡婷,0989116714,432 卑南延平路303號0樓,Credit Card
147,121,黃文正,038 91970678,71915 台南民有路2段9號之5,Apple Pay
148,122,許志明,(04) 43910463,93383 宜蘭縣光復巷47號之2,Line Pay
149,122,陳惠美,013 31951748,58034 新北文化路1段28號之7,Credit Card
150,123,王承翰,042 42752967,83008 花蓮市莒光街50號4樓,Line Pay
151,124,范志偉,00-3839262,81922 卑南市景美路8號7樓,Cash on Delivery
152,125,田素琴,091 63641545,941 朴子福安路7號之4,Line Pay
153,126,黃鈺婷,04 8107917,58165 汐止縣和街路17號之4,Credit Card
154,127,李家榮,0986955806,278 北港奇岩街95號之5,Line Pay
155,128,鄭雅雯,038 83234306,814 斗六民族路1號5樓,Line Pay
156,129,王金蓮,02-7659657,253 北港延平巷2號4樓,Cash on Delivery
157,130,孫文龍,(03) 28603483,673 新竹自強巷228號之2,Line Pay
158,130,蔡柏翰,0977117217,79156 彰化五福巷57號3樓,Cash on Delivery
159,131,劉苡晴,(08) 32760628,50781 平鎮紅樹林巷2號6樓,Line Pay
160,132,李雅婷,04-3660929,426 桃園市大同巷58號2樓,Apple Pay
161,132,邱聰明,01-4888875,69533 屏東縣學府街5號之1,Apple Pay
162,133,洪淑敏,055 72961461,129 連江縣福德街5號之7,Line Pay
163,133,吳國華,0978144238,311 竹北民族巷4段4號8樓,Line Pay
164,134,林秋月,0979-973172,161 白沙市奇岩巷508號之1,Apple Pay
