AddressID,CustomerID,ReceiverName,Phone,Address,PaymentMethod
1,1,翁俊傑,063 46038197,33626 關山縣民治街3號之8,Line Pay
2,2,顏建成,0900988402,239 卑南建國街58號之4,Cash on Delivery
3,3,范俊銘,01-29178971,24871 北港縣文山巷9號1樓,Cash on Delivery
4,4,江金龍,0916091845,48457 楊梅市紅樹林巷47號之2,Cash on Delivery
5,5,洪靜怡,0984-172814,729 高雄縣新生街4號之5,Credit Card
6,6,陳俊佑,05-59235695,68311 北港市大坪街37號之8,Line Pay
7,7,李淑芬,0980880103,47325 平鎮市光復路5段968號7樓,Line Pay
8,8,王俊宇,063 91694933,326 褒忠景美街2號8樓,Apple Pay
9,8,江志偉,00-94877788,23503 白沙中和街3段903號3樓,Line Pay
10,9,張威廷,(03) 69158284,46679 桃園縣民生路5段25號6樓,Cash on Delivery
11,10,顧義雄,0915-740674,44051 平鎮市華興街851號之7,Cash on Delivery
12,11,林秀玉,02-1998553,131 古坑仁愛路150號0樓,Line Pay
13,12,謝芸菲,09-9991164,702 平鎮昆陽路97號之4,Apple Pay
14,13,張秀梅,028 80649475,89561 鳳山大橋頭路7段20號之6,Line Pay
15,14,吳美英,0940-519154,175 連江紅樹林街82號6樓,Apple Pay
16,15,雷秀美,0922814133,81461 台南明德街5段474號4樓,Apple Pay
17,16,陳淑芬,014 10488316,78077 北港縣西門巷79號之8,Cash on Delivery
18,17,詹子恩,06 7854018,14803 金門縣景美街25號2樓,Cash on Delivery
19,17,周建宏,(04) 40415397,294 嘉義市民權巷32號0樓,Cash on Delivery
20,18,龔淑芬,058 96197665,99687 新竹市奇岩巷187號之6,Line Pay
21,19,劉怡君,0973-777193,40765 朴子市奇岩路8號1樓,Cash on Delivery
22,20,林淑慧,04 5567638,24070 八德市松山巷482號5樓,Cash on Delivery
23,20,林明哲,04-24648807,55210 竹田縣建國路75號5樓,Credit Card
24,21,周秀娟,(08) 98832223,366 板橋縣中華街985號之6,Credit Card
25,22,張淑華,(03) 13802353,345 平鎮莒光巷8段9號0樓,Apple Pay
26,22,鄧俊宇,023 83204444,96692 鳳山自由路748號之2,Line Pay
27,23,劉玉英,0934-077633,88761 永康縣淡水巷7段2號5樓,Credit Card
28,24,盧雅婷,035 91488473,41092 員林學府巷887號之6,Cash on Delivery
29,25,李淑貞,066 36183593,33268 阿里山中華巷6段516號之4,Line Pay
30,25,李麗香,0902-248698,219 太保小碧潭巷50號5樓,Line Pay
31,26,林建興,06-19511711,80997 草屯縣雙連街483號5樓,Apple Pay
32,27,梁承翰,0921983575,121 臺東縣奇岩巷709號7樓,Line Pay
33,28,廖建興,0963281145,42861 樹林市蘆洲街88號4樓,Apple Pay
34,29,林國華,03-3200460,67437 永康市興街6號之5,Apple Pay
35,30,歐進興,08 8054007,21153 彰化明德路21號之1,Apple Pay
36,31,林凱翔,0972-905069,18405 台中北投路86號之6,Line Pay
37,32,廖建良,09-9844537,66897 北港縣新北投路50號之1,Apple Pay
38,32,林建成,(01) 91150393,67325 橫山縣永安街94號1樓,Apple Pay
39,33,黃美玲,057 71528702,116 屏東自由路7段61號9樓,Apple Pay
40,34,鄭文龍,08 3441201,794 永康縣公園路50號1樓,Line Pay
41,35,洪武雄,01-5961716,686 台東四維巷63號5樓,Apple Pay
42,35,陳博文,0974277087,356 白沙市太平巷35號之9,Apple Pay
43,36,蘇美玉,00 5818148,808 澎湖福德巷40號9樓,Line Pay
44,37,蕭美玲,021 20765057,260 豐原芝山路1號7樓,Line Pay
45,37,李美雲,03-36435340,76852 嘉義市文化巷7號之1,Credit Card
46,38,林惠美,077 58710868,24456 高雄永和街289號之8,Line Pay
47,39,史志明,07-8976606,110 桃園民有街784號2樓,Credit Card
48,39,黃麗娟,027 59876810,609 彰化勝利巷3段7號2樓,Credit Card
49,40,陳宗翰,061 95685062,60929 三重縣民生路7段697號1樓,Apple Pay
50,41,黃秀娟,04 7475043,970 員林市松山路73號5樓,Apple Pay
51,42,游俊男,(04) 14934277,56922 牡丹市自強街96號之5,Cash on Delivery
52,42,張俊豪,0934-112697,43013 斗六市和平巷9段145號之4,Apple Pay
53,43,魏思妤,0985173583,418 卑南市雙連巷330號之1,Cash on Delivery
54,43,李碧珠,02-84434239,24176 新營市中央巷563號4樓,Cash on Delivery
55,44,劉素珍,(04) 32367657,416 褒忠縣五福巷398號之5,Cash on Delivery
56,45,張志偉,0995-160554,10595 馬公市福德巷2號0樓,Line Pay
57,46,陳秀玉,0967355240,505 斗六小碧潭路45號之6,Line Pay
58,47,陳家宏,(06) 18193808,79167 平鎮縣大同巷7段629號之4,Cash on Delivery
59,48,許建志,(07) 57557010,526 雲林縣新莊路151號5樓,Credit Card
60,49,蕭淑華,0948-427279,495 頭份大仁路26號0樓,Cash on Delivery
61,50,林志雄,08-3157151,65883 嘉義縣民有路2段212號之5,Credit Card
62,51,何志文,092 68082085,36131 白沙縣民生巷9號3樓,Apple Pay
63,52,謝麗娟,086 38739222,371 草屯縣光明路9段522號之4,Cash on Delivery
64,53,陳美娟,09-18192168,89783 楊梅縣龍山寺路7段2號5樓,Apple Pay
65,54,魏金龍,080 19999925,334 馬公市長安巷5號之1,Cash on Delivery
66,55,林美惠,03 4889000,19147 太平縣中山街13號7樓,Line Pay
67,56,蕭秀珠,08 9018410,54787 頭份自由路701號6樓,Apple Pay
68,57,陳淑惠,09 2319567,595 頭份松山巷53號7樓,Cash on Delivery
69,57,陳苡晴,08-4190843,913 台南市光復巷6段32號之1,Line Pay
70,58,歐美惠,0940427800,70541 基隆華興路211號7樓,Cash on Delivery
71,59,李麗華,0930-933677,53802 竹田市林森路16號3樓,Credit Card
72,60,李秀珠,08 8149245,613 台東信義巷48號之2,Line Pay
73,60,周國雄,(04) 91948103,893 臺東光復巷5段53號3樓,Line Pay
74,61,賴麗珠,(06) 55941605,25140 關山東湖路5號之4,Credit Card
75,62,尤淑慧,06 9003652,49333 頭份縣長安路31號4樓,Line Pay
76,63,李秀珍,030 33816474,772 汐止市新莊巷4號8樓,Cash on Delivery
77,63,蔡麗雲,01-11126749,82220 白沙市東興巷228號3樓,Apple Pay
78,64,林家宏,000 46146693,84999 北斗淡水巷5段6號2樓,Line Pay
79,65,吳淑惠,05-2547344,43228 新竹仁愛路1號4樓,Credit Card
80,66,許秀琴,(03) 60834737,688 頭份縣國凱八德巷1號之2,Cash on Delivery
81,66,王雅萍,0978058022,173 臺中市興街2號之8,Cash on Delivery
82,67,陳俊明,05-3760406,97209 屏東民富路3號之0,Cash on Delivery
83,68,鄭志銘,(02) 33741929,52954 桃園市五福路613號之1,Line Pay
84,69,郭哲維,03 3333706,14954 阿里山市自由路60號之5,Apple Pay
85,70,楊美雲,09 7565878,90450 屏東延平街1段759號3樓,Credit Card
86,70,陳麗娟,0936-854910,13965 北斗縣中和巷10號之2,Apple Pay
87,71,吳金鳳,0985119583,33179 梅山中興路54號0樓,Line Pay
88,72,李國雄,(08) 52093897,461 北竿正義街673號之4,Line Pay
89,73,張文龍,07 2952189,27981 馬公文化路3號之6,Apple Pay
90,74,蔣美惠,03 5145566,93500 北竿市忠孝路9段301號之0,Credit Card
91,75,呂惠珍,02-32703691,92644 北斗忠孝路14號之2,Cash on Delivery
92,76,郭美惠,003 15286307,61946 員林五福巷95號之0,Line Pay
93,76,林哲維,054 40794348,11985 桃園縣大智巷36號之2,Credit Card
94,77,陳金龍,037 83538592,378 桃園縣新生街489號8樓,Cash on Delivery
95,78,余秀梅,0963-294731,646 新北縣士林巷4號之2,Line Pay
96,79,廖麗珠,(03) 13039581,47386 宜蘭縣民享巷612號3樓,Cash on Delivery
97,80,陳建興,(07) 18281513,133 白沙自由街8號1樓,Credit Card
98,81,王子涵,0950-788093,387 馬公建國巷680號3樓,Credit Card
99,82,郭宥蓁,(07) 26678060,146 蘆洲華興街56號5樓,Line Pay
100,83,許雅玲,00 5839742,74632 南投劍潭巷64號之0,Line Pay
101,84,林詩涵,0914372714,671 北斗光明路5段6號之0,Cash on Delivery
102,85,林雅雯,0932850671,719 花蓮縣華興巷9段780號6樓,Apple Pay
103,86,湯勝雄,085 32401627,584 桃園市中和巷82號之9,Credit Card
104,86,陳怡婷,0900-674593,17205 斗六新興巷2段661號之8,Credit Card
105,87,陳宸睿,0991-161747,508 台北市民生巷1段645號之1,Apple Pay
106,87,林宗翰,00 3868104,82089 屏東縣關渡巷862號3樓,Apple Pay
107,88,王宗霖,0952-592001,51608 花蓮大智街2號5樓,Apple Pay
108,89,石家宏,07-2307138,70765 屏東縣新北投街3號之3,Line Pay
109,90,葉志文,0954-700339,307 三重市平和街55號5樓,Cash on Delivery
110,90,楊志成,068 87234814,61988 臺東市學府巷661號之3,Line Pay
111,91,林麗美,01-75731906,321 花蓮平和街96號4樓,Credit Card
112,91,潘秀鳳,(06) 14189328,669 花蓮劍潭街696號4樓,Line Pay
