CustomerID,Email,Password,Name,Phone
1,yaocheng-hsiung@example.net,!9nPovdqMS,劉武雄,05 4489897
2,uchen@example.com,d#78CXz3Zq,陳宥辰,(05) 30781438
3,li-hua28@example.com,%wmVe3bv%9,葉玉蘭,0943-563355
4,kpan@example.org,@3YlNY#haU,林文龍,07-8154611
5,li-hsiangliao@example.com,R%492ZXe%7,蔡俊雄,083 85516563
6,dlin@example.org,^byTAEfv2f,沈冠宏,08 8860032
7,chenshu-hua@example.com,_0N9Hn@3#O,張秀英,07-4401612
8,chenya-ting@example.net,GjX_x1LdgY,朱俊佑,0937035792
9,ya-wen65@example.org,i#nc7CyT12,高秀梅,02-28648040
10,shu-linglin@example.com,eT9IVqmt*&,謝宗憲,03-31694508
11,shu-meilin@example.org,g0NueGKq$E,陳彥廷,012 18364547
12,tsenghsiu-hsia@example.net,@(9O3JEdMm,羅秀珍,08-1006156
13,chenya-ling@example.net,#4F6mnbF_j,王碧珠,0982690434
14,xtseng@example.org,*bRKKxqhf0,陳麗美,(03) 21500335
15,taishu-fen@example.org,YY4QmJirj),池文彬,0924-301626
16,hsiu-chinkuo@example.org,#U5gEYjM6$,林素貞,(05) 71377838
17,sunhsin-i@example.net,L+O9kR2$pz,林美麗,0928-517075
18,tsaichun-liang@example.com,^+)FA7Ab+z,姜宗翰,099 82307381
19,shu-ching05@example.net,+qSEGpS*_4,洪嘉宏,0973-332430
20,chenli-ling@example.net,l+14B)qleC,吳志偉,(05) 75648356
21,chenmei-feng@example.com,G%W6L@qoya,蔡政宏,010 45457770
22,tsaimei-ling@example.org,L+u!9F2oIZ,李宇翔,06 4233266
23,yueh-o07@example.com,OdHL^VnR^4,李金龍,0904-110485
24,wen-lungliao@example.org,%z6S8gkZB0,黃玉鳳,0966-749425
25,li-huachen@example.net,QR3PedWe0#,蔡建成,0992-314993
26,kuan-yutsai@example.org,#&L3PXxtd),涂世明,00 9346421
27,chia-hao67@example.org,g#5QvzyCw*,陳美玉,01-51929421
28,linya-ling@example.com,^9H__Hr#%&,黃俊賢,(05) 32066877
29,shih-hanlin@example.org,dn7ocY8Zb%,劉明德,035 82729679
30,tsengi-hsiung@example.org,F+ZVPb_k(7,丁俊宏,06-2203209
31,yu-mei44@example.com,^K4qTbOAB+,林進發,061 35485720
32,tsaili-hua@example.net,ml7EtFHp#*,蔡美英,(04) 95268047
33,li-huayeh@example.com,Tc*)7BSc9&,鄭美華,0938-056450
34,ya-ping63@example.org,x$x8WQFpm0,楊建成,06 9936352
35,hsiu-chih12@example.net,+&WA^Qcsl4,李玉美,(09) 74267803
36,mei-yupeng@example.net,+bM^dKLqf0,陳承恩,06-76299268
37,li-mei28@example.org,_&rG9VN5h1,林國雄,0943-576323
38,ming-che49@example.net,4Y0_%XLe&r,張淑敏,0905-947792
39,kai-hsianglin@example.com,t2XxjfmN+A,陳宇翔,0993692240
40,i-chunlin@example.com,93S6^bTr*t,黃秀美,(03) 33374661
41,hsiu-feng89@example.org,2ewSyM+s#q,邱秀娟,(03) 58208640
42,li-hsuehlin@example.net,6zUX0tw6%f,蘇麗卿,09-15324318
43,hsumei-li@example.net,+5QH#rb2JH,羅金龍,(08) 40446093
44,ming-chuyeh@example.net,d6JwyIyk_N,饒志豪,01-71982915
45,yu-yingchen@example.net,V5YKzyqP(8,祝惠玲,08-2913332
46,yuansu-chen@example.com,))UuO&jzb5,温淑貞,09-69945833
47,i-chun75@example.com,%V5jZzefL&,許明珠,(00) 57973925
48,ming-te28@example.org,5f9UQ(%d$f,張詩涵,01-88068611
49,chenhsiu-chin@example.com,@_5@3LxqlJ,劉美華,0957854702
50,hsiu-feng78@example.org,@Nfr%Cp&60,吳宥辰,0914825217
51,huangshu-mei@example.com,IFA(0sBn)t,邱政宏,08-3504484
52,chun-ting29@example.net,$2v4QXhc9E,吳麗香,(08) 45218523
53,cheng-hsiungcho@example.com,9BowO%Lp*5,梁麗珍,(06) 39339190
54,chun-hsiunglin@example.com,I96xWow6!S,黃志強,(02) 67188205
