AddressID,CustomerID,ReceiverName,Phone,Address,PaymentMethod
1,1,廖明輝,08 8510033,85854 鳳山市南巷91號7樓,Line Pay
2,2,許家宏,045 93938433,39334 高雄縣中山街7段5號8樓,Apple Pay
3,3,張文祥,03-7091795,529 苗栗市興路3號之4,Cash on Delivery
4,3,張哲維,0980-868785,619 關山德巷6號2樓,Credit Card
5,3,李明珠,(08) 34665225,84634 臺中龍山寺巷3段949號6樓,Line Pay
6,4,王品睿,0994-029280,15246 三重縣新生路944號之2,Apple Pay
7,4,何進發,0957627529,821 古坑民生路9號9樓,Credit Card
8,4,陳麗華,0998449185,97031 新北市府中巷5號4樓,Credit Card
9,5,簡冠霖,092 33348740,299 新北大同街2號0樓,Line Pay
10,6,李志宏,075 93679245,817 白沙龍山寺街658號之0,Apple Pay
11,6,張志明,0951-711808,63299 梅山石牌路287號5樓,Cash on Delivery
12,7,陳淑玲,023 33018790,80954 馬公勝利路3號5樓,Cash on Delivery
13,7,施宗霖,030 18420768,548 豐原奇岩路38號之0,Apple Pay
14,7,劉玉蘭,0955363087,87087 平鎮縣國凱八德街8號6樓,Line Pay
15,8,葉淑玲,09-3220874,476 桃園自由巷1號0樓,Apple Pay
16,9,黃雅玲,0961-718765,16734 豐原成功巷5段2號7樓,Line Pay
17,9,張麗珍,0991-658768,430 澎湖永和巷13號2樓,Cash on Delivery
18,9,陳淑慧,07 9926061,120 台中民族巷12號1樓,Cash on Delivery
19,10,周芸菲,0900-124907,38594 桃園迴龍巷5段51號9樓,Credit Card
20,10,林麗娟,0904843224,199 澎湖昆陽路1號6樓,Apple Pay
21,11,卓睿恩,011 31567367,319 臺東縣林森巷10號5樓,Line Pay
22,11,吳秀玲,0916-545262,506 蘆洲忠孝巷3段2號之5,Cash on Delivery
23,12,王建志,079 17040049,80483 豐原市育英路954號之2,Line Pay
24,12,林美慧,04 3844295,678 台南縣東湖巷8段1號之9,Cash on Delivery
25,13,蘇政宏,0967-324894,93319 永康信義街9號6樓,Credit Card
26,13,許國華,0959227380,968 新竹市民治巷5號5樓,Cash on Delivery
27,13,張家豪,0977780454,14133 桃園縣福安路4號3樓,Line Pay
28,14,鄭怡君,(08) 47005470,421 桃園公園巷173號6樓,Cash on Delivery
29,14,陳麗雲,07-8696582,87786 豐原縣民生路7號3樓,Cash on Delivery
30,15,王建宏,(06) 77301914,42120 牡丹永寧巷321號4樓,Line Pay
31,16,鐘建成,0957088769,41252 嘉義象山巷5號之4,Cash on Delivery
32,17,游秀華,016 43735126,57104 光復市水源巷94號7樓,Line Pay
33,17,蔡宥廷,00-60304819,845 員林景美街283號8樓,Line Pay
34,18,蔣志宏,04-6209961,79144 永康自由路2號之5,Credit Card
35,19,李文彬,07-46389388,19428 阿里山市自立街9段7號9樓,Cash on Delivery
36,19,賴建中,0921811295,100 彰化市明德路167號之1,Apple Pay
37,20,鄭志宏,(09) 63845989,162 八德市永和路4段18號之7,Credit Card
38,20,蕭建興,07 3818950,651 中和新莊巷5段712號之0,Apple Pay
39,21,鄭秀美,0928-970442,35967 新營市中山巷872號之3,Apple Pay
40,22,李美娟,07 2536634,41417 屏東忠孝巷108號1樓,Line Pay
41,22,陳麗娟,0935878094,255 八德市復興巷74號之0,Credit Card
42,23,劉博文,080 43248044,851 太平景美街5段2號之0,Cash on Delivery
43,24,許金龍,0927513966,63345 基隆延平巷6號4樓,Cash on Delivery
44,24,龍明珠,0982979718,249 三重縣自由巷38號之9,Line Pay
45,24,陳志偉,0938-039503,86242 台東學府路264號2樓,Apple Pay
46,25,温惠美,0995711727,83197 員林縣中華路763號2樓,Cash on Delivery
47,26,葉羽彤,08 4786280,28121 北港縣中和街5段67號5樓,Line Pay
48,27,黃金龍,(00) 63214850,90623 光復縣自立街391號5樓,Cash on Delivery
49,28,鍾志豪,(01) 68155260,89122 牡丹育英街598號2樓,Line Pay
50,28,侯麗雲,0939571210,399 台北縣永安街81號之4,Apple Pay
51,29,楊秀英,056 82136441,807 梅山市淡水路27號之5,Line Pay
52,29,蘇雅婷,09-99940407,452 台中自立巷5號1樓,Credit Card
53,29,邱柏宏,07-89032837,19770 斗六民權街9號4樓,Cash on Delivery
54,30,古宗霖,03 6605669,868 竹田大安路807號9樓,Credit Card
55,31,劉志明,06-2802581,98119 員林市華興路63號1樓,Apple Pay
56,31,李文忠,(04) 46167199,58278 牡丹中和巷586號1樓,Apple Pay
57,31,張俊豪,00-1377658,72346 台中市德街6號8樓,Apple Pay
58,32,洪文忠,0998222059,425 北斗市新生街9段7號之1,Credit Card
59,32,陳建宏,09-9485822,260 關山市光明街76號之2,Cash on Delivery
60,33,李品妍,04 1011076,447 新營中興街188號之8,Cash on Delivery
61,34,游秀玲,07 2766967,26583 台北市大同街953號之1,Credit Card
62,34,賴美玉,02 2446340,80870 台東縣中和街5號4樓,Credit Card
63,35,陳建成,(05) 45024924,620 樹林博愛路454號8樓,Cash on Delivery
64,35,邱素卿,014 48890594,942 南投景美街784號7樓,Cash on Delivery
65,36,黃明哲,0953003279,17584 台南蘆洲巷1號之6,Apple Pay
66,36,張玉玲,09-2406783,216 朴子市士林巷3號之2,Cash on Delivery
67,36,陳志銘,0901373959,84317 關山民享路934號之1,Line Pay
68,37,何文雄,0905-628967,925 新竹民富街4段38號之1,Cash on Delivery
69,37,李素珍,0995639676,885 臺中市學府巷574號之7,Apple Pay
70,38,邱雅筑,0976563707,97622 太保大仁巷6段7號1樓,Cash on Delivery
71,38,江進財,0910914002,71678 汐止市奇岩路4號5樓,Cash on Delivery
72,38,胡美鳳,06-1985916,89968 基隆中央街78號之1,Cash on Delivery
73,39,周建中,0915550087,574 平鎮紅樹林街9號之8,Credit Card
74,39,陳明宏,04-62092469,79178 苗栗光華街91號1樓,Credit Card
