CustomerID,Email,Password,Name,Phone
1,chentsung-han@example.org,s87QRhk6*U,林志偉,0924-578704
2,jen-chieh62@example.org,_FOhyf6J3R,黃雅婷,0981-498140
3,yehli-yun@example.org,f%3RcXQhdf,李淑華,(02) 94324222
4,kuomei-ling@example.org,ieGNdjPY$4,謝武雄,(04) 64532271
5,hsiu-chuanchen@example.com,&HR4wb&h2a,楊秀華,018 87893622
6,hsiu-chen37@example.com,H38uIKFk_L,徐哲維,08-2537896
7,pao-chulin@example.net,_nRjZFobF5,林永昌,07-19952382
8,liaoming-hui@example.com,(3$BDEbhfp,徐俊賢,0985966334
9,chouchia-hao@example.org,_AwQFrh4P9,蔡俊銘,05 2862023
10,cheng-en50@example.net,W46N@xMG!!,陳俊雄,02-14532836
11,chiu-yuehchen@example.com,g9nmEZwv!2,王柏諺,08-26977894
12,bchen@example.com,ezBoXLNn_7,鐘美惠,0927-540003
13,yu-ying64@example.net,51N$BTwV(l,房麗華,08-3464406
14,tsung-hanchen@example.com,#s4TEk3U3b,張麗華,0951-591000
15,tsaiyu-en@example.com,+7u0UhQn%!,陳冠霖,05 9691265
16,klin@example.net,@l1C#iDgxj,許宇軒,01-95492896
17,li-chen84@example.com,(w7ye2Kw(+,葉雅婷,0932661779
18,rlin@example.com,Mm*1RXs*9X,朱彥廷,(09) 39090486
19,hsiu-mei07@example.com,_2f7TMwUJR,劉雅婷,(06) 22096318
20,li-chu33@example.org,6x1ZSzdE%D,孫玉蘭,00 4057208
21,shu-hualin@example.org,n*62KCbS&u,黃宥廷,05 5488147
22,panli-hua@example.com,r@7Q%4csVz,陳淑惠,04-9664621
23,mchen@example.org,N+o4OPek8I,張麗娟,02-27907827
24,tsaimei-li@example.com,_8DNikjxPr,陳怡君,0991877563
25,tzu-hsiangtsao@example.org,a52hQi+Z3@,楊明宏,0912150252
26,pin-yuchuang@example.net,&EO*ljeW5P,羅芸菲,0981138121
27,vtsai@example.org,xg0HRqe@^v,林國雄,051 54711370
28,shu-fenhu@example.org,nH(0Dj9Nki,周秀英,01-4378309
29,wu-hsiungchou@example.net,3#u!6Lkpdi,郭靜宜,0956815609
30,mei-feng07@example.net,*1VQx1Lylk,吳國榮,0966769426
31,linchih-yuan@example.com,#*2ZDq_q51,宋文章,03-2147754
32,yueh-olin@example.net,2uOIyUeq+M,吳淑慧,0974291166
33,chenchin-lung@example.net,$0nQLVHwYc,蔡義雄,08-84531127
34,liaohsiu-lien@example.com,@C1ZSKqB0T,廖欣怡,016 84057745
35,hsumei-yu@example.net,M+8^9xGhit,林志雄,05-2796207
36,ming-chu27@example.com,1q5xL^fc(x,廖雅婷,(03) 99918209
37,rlin@example.net,UK1G4AXqj^,張進發,002 77159416
38,zchen@example.org,LB))6LQdUE,林家銘,089 90684491
39,chien-chung72@example.org,j2%l&dLj$p,簡玉英,08-7815331
40,ohung@example.com,V@hf3WFg@p,許素貞,02-68421766
41,chia-hunghsu@example.com,*+8RteqC!8,王宜蓁,0996170114
42,linkuan-ting@example.com,qa5RWmnNw#,洪淑美,(02) 98443337
43,mei-hui17@example.com,Fm5g3H6j%9,翁志雄,0940-269268
44,hsiehli-hua@example.com,P6$1wrWn)*,鄧淑芬,0950-425755
45,mei-yu11@example.org,5KCGaZlh^),陳淑娟,(05) 35251820
46,chia-lingsu@example.com,(+17Wsjkj),楊國華,00-86451255
47,dhuang@example.org,+BNhHdR74k,蕭宇翔,0943-833804
48,chia-wei95@example.net,TF4AybL@+R,林柏霖,0974222244
49,dtai@example.net,(hn4eGm%S+,簡麗珠,03-6688814
50,shu-ling15@example.org,$(19c$HiS^,劉國雄,(07) 91524084
51,hsuwen-cheng@example.net,6W7PXYgz^x,林淑華,086 59439874
52,gchen@example.org,_V13MdixRT,李雅惠,08-55005428
53,tingli-chin@example.com,%2MQ9hfi_C,彭雅慧,0902-623433
54,yu-tung47@example.com,b9!w9)EzKm,王宗霖,01 9187150
55,chenchin-fa@example.com,%2KntMXlVg,林建良,(08) 61744751
56,cheng-en24@example.net,#Q%4TlWr&X,廖宗翰,008 63352190
57,hsiu-chihtsai@example.net,O+3OtmC5(7,林冠宇,(02) 48816364
58,tengli-hua@example.net,Y+3@4Eoskh,許志宏,(09) 51078103
59,pi-yun07@example.org,t$1LMGDnwE,陳美雲,0963027015
60,chenche-wei@example.net,*2UHerci5V,陳淑華,035 78326281
61,tchen@example.com,^op7Cb6Tzt,郭秀英,05 8230392
62,yu-lan33@example.net,417Ip1te^9,劉惠美,07-6864904
